M	L	deltaE
27	1	0.0085252
27	2	-0.0923938
27	3	0.0248501
27	4	-0.0615054
27	5	0.0312688
27	6	-0.0465448
27	7	0.0363871
27	8	-0.0377644
27	9	0.0414778
27	10	-0.031955
27	11	0.0471183
27	12	-0.0277964
27	13	0.0538145
27	14	-0.024644
27	15	0.0622248
27	16	-0.0221385
27	17	0.0734081
27	18	-0.0200509
27	19	0.0893335
27	20	-0.0181972
27	21	0.114259
27	22	-0.016332
27	23	0.159534
27	24	-0.013674
27	25	0.267676
27  26  0
